application_id,batch_id,authority_id,state,department,topic,language,channel,template_version,treatment,assigned_ra,randomization_stratum,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,payment_reference,evidence_url,screen_recording_url,due_date,filed_by,notes,source_row_id,office_name,tree_department,node_id,parent_id,level,tier,path,portal
TN-026,b2026q3_02,TN-59b5ded32dbc7e5e,Tamil Nadu,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,rti_meta,en,portal,wave1-rti-information-v1,legal_salience,RA1,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Department,,,,,,,,,,,,,,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,59b5ded32dbc7e5e,displayPa,1,Department,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,rti_tamil_nadu
TN-027,b2026q3_02,TN-539a9b40c157b20c,Tamil Nadu,DIRECTORATE OF ADIDRAVIDAR WELFARE,rti_meta,en,portal,wave1-rti-information-v1,plain,RA2,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Head of Department,,,,,,,,,,,,,,DIRECTORATE OF ADIDRAVIDAR WELFARE,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,539a9b40c157b20c,59b5ded32dbc7e5e,2,Head of Department,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE,rti_tamil_nadu
TN-028,b2026q3_02,TN-ad34f76513e3d6e5,Tamil Nadu,"DIRECTORATE OF TRIBAL WELFARE, CHENNAI",rti_meta,en,portal,wave1-rti-information-v1,legal_salience,RA2,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Head of Department,,,,,,,,,,,,,,"DIRECTORATE OF TRIBAL WELFARE, CHENNAI",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,ad34f76513e3d6e5,59b5ded32dbc7e5e,2,Head of Department,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF TRIBAL WELFARE, CHENNAI",rti_tamil_nadu
TN-029,b2026q3_02,TN-b342d253e974c4fc,Tamil Nadu,"TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) HEAD OFFICE, CHENNAI",rti_meta,en,portal,wave1-rti-information-v1,plain,RA1,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Head of Department,,,,,,,,,,,,,,"TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) HEAD OFFICE, CHENNAI",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,b342d253e974c4fc,59b5ded32dbc7e5e,2,Head of Department,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) HEAD OFFICE, CHENNAI",rti_tamil_nadu
TN-030,b2026q3_02,TN-044d53dc75a8de3f,Tamil Nadu,"ADW GOVERNMENT HIGH SCHOOL, OGALUR",rti_meta,en,portal,wave1-rti-information-v1,plain,RA1,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"ADW GOVERNMENT HIGH SCHOOL, OGALUR",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,044d53dc75a8de3f,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > ADW GOVERNMENT HIGH SCHOOL, OGALUR",rti_tamil_nadu
TN-031,b2026q3_02,TN-01262a3524c0d78d,Tamil Nadu,"ADW GOVERNMENT HIGH SCHOOL, VETTIYAKADU",rti_meta,en,portal,wave1-rti-information-v1,plain,RA4,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"ADW GOVERNMENT HIGH SCHOOL, VETTIYAKADU",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,01262a3524c0d78d,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > ADW GOVERNMENT HIGH SCHOOL, VETTIYAKADU",rti_tamil_nadu
TN-032,b2026q3_02,TN-d608850350a07a57,Tamil Nadu,"ADW HIGH SCHOOL, KAPPUR",rti_meta,en,portal,wave1-rti-information-v1,plain,RA1,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"ADW HIGH SCHOOL, KAPPUR",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,d608850350a07a57,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > ADW HIGH SCHOOL, KAPPUR",rti_tamil_nadu
TN-033,b2026q3_02,TN-2cf2b45528d09052,Tamil Nadu,"DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, DINDIGUL",rti_meta,en,portal,wave1-rti-information-v1,plain,RA4,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, DINDIGUL",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,2cf2b45528d09052,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, DINDIGUL",rti_tamil_nadu
TN-034,b2026q3_02,TN-a0819ead21ccd014,Tamil Nadu,"DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, KALLAKURICHI",rti_meta,en,portal,wave1-rti-information-v1,plain,RA3,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, KALLAKURICHI",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,a0819ead21ccd014,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, KALLAKURICHI",rti_tamil_nadu
TN-035,b2026q3_02,TN-75fa8a449bed786d,Tamil Nadu,"DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, KANNIYAKUMARI",rti_meta,en,portal,wave1-rti-information-v1,plain,RA2,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, KANNIYAKUMARI",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,75fa8a449bed786d,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, KANNIYAKUMARI",rti_tamil_nadu
