app_id,state,treatment,assigned_ra,filing_date,registration_number,filing_outcome,not_filed_reason,filed_by,source
TN-027,TN,plain,RA2,2026-08-26,DOADW/R/2026/60027,,,Ronit Shah,RA2_sheet
TN-028,TN,legal_salience,RA2,2026-08-26,VFUUC/R/2026/60009,,,Ronit Shah,RA2_sheet
TN-035,TN,plain,RA2,2026-08-26,SWCIM/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-038,TN,plain,RA2,2026-08-26,ZZDSX/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-047,TN,plain,RA2,2026-08-26,VKVSF/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-051,TN,legal_salience,RA2,2026-08-26,XHSGB/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-052,TN,legal_salience,RA2,2026-08-26,AGRIC/R/2026/60160,,,Ronit Shah,RA2_sheet
TN-055,TN,plain,RA2,2026-08-26,DOAFW/R/2026/60061,,,Ronit Shah,RA2_sheet
TN-060,TN,legal_salience,RA2,2026-08-26,NMDMY/R/2026/60002,,,Ronit Shah,RA2_sheet
TN-065,TN,plain,RA2,2026-08-26,EHGGS/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-069,TN,plain,RA2,2026-08-27,MCPKD/R/2026/60008,,,Ronit Shah,RA2_sheet
TN-073,TN,plain,RA2,2026-08-27,CBTHJ/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-077,TN,plain,RA2,2026-08-27,ZHNGA/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-078,TN,legal_salience,RA2,2026-08-27,RARHN/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-080,TN,plain,RA2,2026-08-27,SRZSK/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-089,TN,plain,RA2,2026-08-27,SMWCQ/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-093,TN,plain,RA2,2026-08-27,HBTFN/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-094,TN,legal_salience,RA2,2026-08-27,NQMRZ/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-099,TN,legal_salience,RA2,2026-08-27,FCOLG/R/2026/60002,,,Ronit Shah,RA2_sheet
TN-100,TN,plain,RA2,2026-08-27,IYTEI/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-102,TN,plain,RA2,2026-08-28,UNVJH/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-111,TN,plain,RA2,2026-08-28,COMBC/R/2026/60012,,,Ronit Shah,RA2_sheet
TN-113,TN,legal_salience,RA2,2026-08-28,TAMCO/R/2026/60003,,,Ronit Shah,RA2_sheet
TN-115,TN,legal_salience,RA2,2026-08-28,IENIJ/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-123,TN,plain,RA2,2026-08-28,CQJVO/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-128,TN,plain,RA2,2026-08-28,AZUEI/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-131,TN,plain,RA2,2026-08-29,WBMDU/R/2026/60010,,,Ronit Shah,RA2_sheet
TN-136,TN,legal_salience,RA2,2026-08-29,COMME/R/2026/60465,,,Ronit Shah,RA2_sheet
TN-137,TN,plain,RA2,2026-08-29,TNIGR/R/2026/60215,,,Ronit Shah,RA2_sheet
TN-140,TN,plain,RA2,2026-08-29,WMYDX/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-142,TN,plain,RA2,2026-08-29,AOIRJ/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-146,TN,legal_salience,RA2,2026-08-29,BRBHW/R/2026/60002,,,Ronit Shah,RA2_sheet
TN-151,TN,legal_salience,RA2,2026-08-29,AQJNF/R/2026/60005,,,Ronit Shah,RA2_sheet
TN-153,TN,plain,RA2,2026-08-29,GRSTL/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-160,TN,plain,RA2,2026-08-29,CXUOQ/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-166,TN,plain,RA2,2026-08-29,XZHJS/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-172,TN,plain,RA2,2026-08-29,YJFZI/R/2026/60003,,,Ronit Shah,RA2_sheet
TN-173,TN,legal_salience,RA2,2026-08-29,COOPE/R/2026/60271,,,Ronit Shah,RA2_sheet
TN-181,TN,plain,RA2,2026-08-29,MDUDT/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-184,TN,plain,RA2,2026-08-29,TNKKM/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-192,TN,legal_salience,RA2,2026-08-29,EURFI/R/2026/60004,,,Ronit Shah,RA2_sheet
TN-194,TN,legal_salience,RA2,2026-08-29,WIYEO/R/2026/60004,,,Ronit Shah,RA2_sheet
TN-198,TN,plain,RA2,2026-08-29,YCXRC/R/2026/60002,,,Ronit Shah,RA2_sheet
TN-200,TN,plain,RA2,2026-08-29,LMXED/R/2026/60002,,,Ronit Shah,RA2_sheet
TN-204,TN,plain,RA2,2026-08-29,TNPGC/R/2026/60017,,,Ronit Shah,RA2_sheet
TN-208,TN,plain,RA2,2026-08-30,GFYTW/R/2026/60002,,,Ronit Shah,RA2_sheet
TN-210,TN,plain,RA2,2026-08-30,ESJMJ/R/2026/60003,,,Ronit Shah,RA2_sheet
TN-211,TN,legal_salience,RA2,2026-08-30,CCWZI/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-212,TN,plain,RA2,2026-08-30,YMOOA/R/2026/60004,,,Ronit Shah,RA2_sheet
TN-221,TN,legal_salience,RA2,2026-08-30,VCROR/R/2026/60002,,,Ronit Shah,RA2_sheet
TN-223,TN,plain,RA2,2026-08-30,NWRJD/R/2026/60006,,,Ronit Shah,RA2_sheet
TN-231,TN,plain,RA2,2026-09-02,TNTEA/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-235,TN,plain,RA2,2026-09-02,VGZIR/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-242,TN,legal_salience,RA2,2026-09-02,ILHBK/R/2026/60004,,,Ronit Shah,RA2_sheet
TN-243,TN,plain,RA2,2026-09-02,CLAXL/R/2026/60002,,,Ronit Shah,RA2_sheet
TN-245,TN,plain,RA2,,,,,Ronit Shah,RA2_sheet
TN-247,TN,plain,RA2,2026-09-02,OUGCP/R/2026/60003,,,Ronit Shah,RA2_sheet
TN-252,TN,legal_salience,RA2,2026-09-02,VVYTP/R/2026/60003,,,Ronit Shah,RA2_sheet
TN-257,TN,legal_salience,RA2,2026-09-02,ZAGPS/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-265,TN,plain,RA2,2026-09-02,DGYWT/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-266,TN,legal_salience,RA2,2026-09-02,VHSQF/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-268,TN,plain,RA2,2026-09-02,QSDMI/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-270,TN,plain,RA2,2026-09-02,WNWTN/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-278,TN,plain,RA2,2026-09-02,YFASC/R/2026/60001,,,Ronit Shah,RA2_sheet
TN-283,TN,legal_salience,RA2,2026-09-02,DOSDR/R/2026/60003,,,Ronit Shah,RA2_sheet
TN-284,TN,plain,RA2,2026-09-02,TNKVB/R/2026/60003,,,Ronit Shah,RA2_sheet
TN-289,TN,plain,RA2,2026-09-22,,,,,RA2_sheet
TG-001,TG,plain,RA4,,,,,,RA2_sheet
TG-002,TG,plain,RA2,2026-09-04,TGRTI/APP/MAN/04/09/26/DI/33521,Awaiting response,NA,,RA2_sheet
TG-003,TG,plain,RA4,,,,,,RA2_sheet
TG-004,TG,plain,RA3,,TGRTI/APP/AGR/06/09/26/DI/33752,,,,RA2_sheet
TG-005,TG,plain,RA2,2026-09-04,TGRTI/APP/V\&A/04/09/26/MA/33524,Awaiting response,NA,,RA2_sheet
TG-006,TG,plain,RA4,,,,,,RA2_sheet
TG-007,TG,plain,RA4,,,,,,RA2_sheet
TG-008,TG,plain,RA2,2026-09-04,TGRTI/APP/V\&A/04/09/26/MA/33528,Awaiting response,NA,,RA2_sheet
TG-009,TG,legal_salience,RA4,,,,,,RA2_sheet
TG-010,TG,plain,RA3,,TGRTI/APP/V\&A/06/09/26/MA/33753,,,,RA2_sheet
TG-011,TG,plain,RA1,,TGRTI/APP/V\&A/04/09/26/MA/33562,,,,RA2_sheet
TG-012,TG,plain,RA4,,,,,,RA2_sheet
TG-013,TG,plain,RA4,,,,,,RA2_sheet
TG-014,TG,legal_salience,RA2,2026-09-04,TGRTI/APP/V\&A/04/09/26/MA/33529,Awaiting response,NA,,RA2_sheet
TG-015,TG,plain,RA3,,TGRTI/APP/V\&A/06/09/26/MA/33754,,,,RA2_sheet
TG-016,TG,plain,RA4,,,,,,RA2_sheet
TG-017,TG,plain,RA2,2026-09-04,TGRTI/APP/V\&A/04/09/26/MA/33530,Awaiting response,NA,,RA2_sheet
TG-018,TG,legal_salience,RA3,,TGRTI/APP/V\&A/06/09/26/MA/33755,,,,RA2_sheet
TG-019,TG,plain,RA2,2026-09-04,TGRTI/APP/V\&A/04/09/26/MA/33563,Awaiting response,NA,,RA2_sheet
TG-020,TG,plain,RA3,,TGRTI/APP/ANI/06/09/26/SE/33756,,,,RA2_sheet
TG-021,TG,plain,RA2,2026-09-04,TGRTI/APP/FIS/04/09/26/DI/33566,Awaiting response,NA,,RA2_sheet
TG-022,TG,legal_salience,RA2,2026-09-04,TGRTI/APP/ANI/04/09/26/ST/33567,Awaiting response,NA,,RA2_sheet
TG-023,TG,legal_salience,RA1,,TGRTI/APP/V\&A/04/09/26/MA/33564,,,,RA2_sheet
TG-024,TG,plain,RA3,,TGRTI/APP/V\&A/06/09/26/DI/33757,,,,RA2_sheet
TG-025,TG,plain,RA3,,TGRTI/APP/V\&A/06/09/26/DI/33758,,,,RA2_sheet
TG-026,TG,plain,RA3,,TGRTI/APP/B.C/06/09/26/DI/33759,,,,RA2_sheet
TG-027,TG,plain,RA2,2026-09-04,TGRTI/APP/B.C/04/09/26/DI/33570,Awaiting response,NA,,RA2_sheet
TG-028,TG,plain,RA4,,,,,,RA2_sheet
TG-029,TG,plain,RA3,,TGRTI/APP/CON/06/09/26/DI/33760,,,,RA2_sheet
TG-030,TG,plain,RA3,,TGRTI/APP/LEG/06/09/26/DI/33761,,,,RA2_sheet
TG-031,TG,plain,RA1,,TGRTI/APP/CON/04/09/26/DI/33569,,,,RA2_sheet
TG-032,TG,plain,RA1,,TGRTI/APP/CIV/04/09/26/DI/33571,,,,RA2_sheet
TG-033,TG,plain,RA3,,TGRTI/APP/CIV/06/09/26/DI/33762,,,,RA2_sheet
TG-034,TG,legal_salience,RA3,,TGRTI/APP/CIV/06/09/26/DI/33763,,,,RA2_sheet
TG-035,TG,plain,RA2,2026-09-04,TGRTI/APP/CIV/04/09/26/DI/33572,Awaiting response,NA,,RA2_sheet
TG-036,TG,plain,RA2,2026-09-04,TGRTI/APP/CIV/04/09/26/DI/33573,Awaiting response,NA,,RA2_sheet
TG-037,TG,plain,RA3,,TGRTI/APP/CIV/06/09/26/DI/33764,,,,RA2_sheet
TG-038,TG,plain,RA1,,TGRTI/APP/CON/04/09/26/DI/33576,,,,RA2_sheet
TG-039,TG,legal_salience,RA2,2026-09-06,TGRTI/APP/DIS/06/09/26/DI/33706,Awaiting response,NA,,RA2_sheet
TG-040,TG,plain,RA4,,,,,,RA2_sheet
TG-041,TG,plain,RA1,,TGRTI/APP/COO/04/09/26/DI/33577,,,,RA2_sheet
TG-042,TG,plain,RA1,,TGRTI/APP/COO/04/09/26/DI/33578,,,,RA2_sheet
TG-043,TG,legal_salience,RA3,2026-09-16,TGRTI/APP/AGR/16/09/26/DI/34193,,,,RA2_sheet
TG-044,TG,plain,RA4,,,,,,RA2_sheet
TG-045,TG,plain,RA4,,,,,,RA2_sheet
TG-046,TG,legal_salience,RA4,,,,,,RA2_sheet
TG-047,TG,plain,RA4,,,,,,RA2_sheet
TG-048,TG,legal_salience,RA1,,TGRTI/APP/EDU/04/09/26/MA/33579,,,,RA2_sheet
TG-049,TG,plain,RA3,,TGRTI/APP/EDU/16/09/26/DI/34194,,,,RA2_sheet
TG-050,TG,legal_salience,RA1,,TGRTI/APP/EDU/04/09/26/MA/33582,,,,RA2_sheet
TG-051,TG,plain,RA2,2026-09-06,TGRTI/APP/TGF/06/09/26/ST/33707,Awaiting response,NA,,RA2_sheet
TG-052,TG,legal_salience,RA3,,TGRTI/APP/TGF/16/09/26/DI/34195,,,,RA2_sheet
TG-053,TG,plain,RA1,,TGRTI/APP/TGF/04/09/26/DI/33583,,,,RA2_sheet
TG-054,TG,plain,RA4,,,,,,RA2_sheet
TG-055,TG,plain,RA2,2026-09-06,TGRTI/APP/TGT/06/09/26/DI/33708,Awaiting response,NA,,RA2_sheet
TG-056,TG,legal_salience,RA4,,,,,,RA2_sheet
TG-057,TG,plain,RA2,2026-09-06,TGRTI/APP/DIS/06/09/26/DI/33709,Awaiting response,NA,,RA2_sheet
TG-058,TG,plain,RA2,2026-09-06,TGRTI/APP/FOR/06/09/26/DI/33710,Awaiting response,NA,,RA2_sheet
TG-059,TG,legal_salience,RA1,,TGRTI/APP/FOR/04/09/26/DI/33584,,,,RA2_sheet
TG-060,TG,plain,RA4,,,,,,RA2_sheet
TG-061,TG,legal_salience,RA2,2026-09-06,TGRTI/APP/SUB/06/09/26/DI/33712,Awaiting response,NA,,RA2_sheet
TG-062,TG,plain,RA4,,,,,,RA2_sheet
TG-063,TG,legal_salience,RA3,,TGRTI/APP/FIN/16/09/26/DI/34196,,,,RA2_sheet
TG-064,TG,plain,RA2,2026-09-06,TGRTI/APP/HOM/06/09/26/MA/33713,Awaiting response,NA,,RA2_sheet
TG-065,TG,plain,RA3,,TGRTI/APP/HOM/16/09/26/MA/34197,,,,RA2_sheet
TG-066,TG,plain,RA4,,,,,,RA2_sheet
TG-067,TG,plain,RA2,2026-09-06,TGRTI/APP/GRO/06/09/26/DI/33714,Awaiting response,NA,,RA2_sheet
TG-068,TG,legal_salience,RA1,,TGRTI/APP/GRO/04/09/26/DI/33585,,,,RA2_sheet
TG-069,TG,plain,RA3,,TGRTI/APP/GRO/16/09/26/DI/34198,,,,RA2_sheet
TG-070,TG,plain,RA3,,TGRTI/APP/HEA/16/09/26/SE/34201,,,,RA2_sheet
TG-071,TG,plain,RA4,,,,,,RA2_sheet
TG-072,TG,plain,RA3,,TGRTI/APP/HEA/16/09/26/DI/34203,,,,RA2_sheet
TG-073,TG,plain,RA4,,,,,,RA2_sheet
TG-074,TG,plain,RA4,,,,,,RA2_sheet
TG-075,TG,plain,RA2,2026-09-06,TGRTI/APP/HEA/06/09/26/DI/33715,Awaiting response,NA,,RA2_sheet
TG-076,TG,legal_salience,RA3,,TGRTI/APP/HEA/16/09/26/DI/34204,,,,RA2_sheet
TG-077,TG,plain,RA1,,TGRTI/APP/HEA/04/09/26/DI/33586,,,,RA2_sheet
TG-078,TG,plain,RA2,2026-09-06,TGRTI/APP/INT/06/09/26/DI/33716,Awaiting response,NA,,RA2_sheet
TG-079,TG,plain,RA2,2026-09-06,TGRTI/APP/HIG/06/09/26/DI/33717,Awaiting response,NA,,RA2_sheet
TG-080,TG,plain,RA3,,TGRTI/APP/TEC/16/09/26/DI/34205,,,,RA2_sheet
TG-081,TG,plain,RA2,2026-09-06,TGRTI/APP/HOM/06/09/26/DI/33719,Awaiting response,NA,,RA2_sheet
TG-082,TG,legal_salience,RA2,2026-09-06,TGRTI/APP/HOM/06/09/26/ST/33720,Awaiting response,NA,,RA2_sheet
TG-083,TG,plain,RA1,,TGRTI/APP/HOM/04/09/26/ST/33587,,,,RA2_sheet
TG-084,TG,plain,RA1,,TGRTI/APP/HOM/04/09/26/ST/33589,,,,RA2_sheet
TG-085,TG,plain,RA3,,TGRTI/APP/POL/16/09/26/DI/34206,,,,RA2_sheet
TG-086,TG,plain,RA1,,TGRTI/APP/HOM/04/09/26/DI/33590,,,,RA2_sheet
TG-087,TG,plain,RA1,,TGRTI/APP/HOM/04/09/26/DI/33591,,,,RA2_sheet
TG-088,TG,plain,RA3,,TGRTI/APP/IND/20/09/26/DI/34375,,,,RA2_sheet
TG-089,TG,legal_salience,RA4,,,,,,RA2_sheet
