app_id,file,reg_no,filing_date,method
KA-012,RA2_filed_rti/KA/RTI_KA-012.pdf,,,tesseract
KA-016,RA2_filed_rti/KA/RTI_KA-016.pdf,,,tesseract
KA-017,RA2_filed_rti/KA/RTI_KA-017.pdf,,,tesseract
KA-019,RA2_filed_rti/KA/RTI_KA-019.pdf,,,tesseract
KA-021,RA2_filed_rti/KA/RTI_KA-021.pdf,,,tesseract
KA-029,RA2_filed_rti/KA/RTI_KA-029.pdf,,,tesseract
KA-030,RA2_filed_rti/KA/RTI_KA-030.pdf,,,tesseract
KA-031,RA2_filed_rti/KA/RTI_KA-031.pdf,,,tesseract
KA-033,RA2_filed_rti/KA/RTI_KA-033.pdf,,,tesseract
KA-040,RA2_filed_rti/KA/RTI_KA-040.pdf,,,tesseract
KA-046,RA2_filed_rti/KA/RTI_KA-046.pdf,,,tesseract
KA-047,RA2_filed_rti/KA/RTI_KA-047.pdf,,,tesseract
KA-051,RA2_filed_rti/KA/RTI_KA-051.pdf,,,tesseract
KA-052,RA2_filed_rti/KA/RTI_KA-052.pdf,,,tesseract
KA-055,RA2_filed_rti/KA/RTI_KA-055.pdf,UDHAS/R/2026/60016,2026-09-12,pdftotext
KA-057,RA2_filed_rti/KA/RTI_KA-057.pdf,DEBAL/R/2026/60006,2026-09-18,pdftotext
KA-061,RA2_filed_rti/KA/RTI_KA-061.pdf,,,tesseract
KA-073,RA2_filed_rti/KA/RTI_KA-073.pdf,,,tesseract
KA-083,RA2_filed_rti/KA/RTI_KA-083.pdf,,,tesseract
KA-085,RA2_filed_rti/KA/RTI_KA-085.pdf,,,tesseract
KA-088,RA2_filed_rti/KA/RTI_KA-088.pdf,,,tesseract
KA-094,RA2_filed_rti/KA/RTI_KA-094.pdf,,,tesseract
KA-100,RA2_filed_rti/KA/RTI_KA-100.pdf,,,tesseract
KA-102,RA2_filed_rti/KA/RTI_KA-102.pdf,LAVJN/R/2026/60008,2026-09-14,pdftotext
KA-108,RA2_filed_rti/KA/RTI_KA-108.pdf,,,tesseract
KA-111,RA2_filed_rti/KA/RTI_KA-111.pdf,,,tesseract
KA-125,RA2_filed_rti/KA/RTI_KA-125.pdf,,,tesseract
KA-131,RA2_filed_rti/KA/RTI_KA-131.pdf,,,tesseract
KA-133,RA2_filed_rti/KA/RTI_KA-133.pdf,,,tesseract
KA-136,RA2_filed_rti/KA/RTI_KA-136.pdf,,,tesseract
KA-140,RA2_filed_rti/KA/RTI_KA-140.pdf,,,tesseract
KA-143,RA2_filed_rti/KA/RTI_KA-143.pdf,,,tesseract
KA-147,RA2_filed_rti/KA/RTI_KA-147.pdf,,,tesseract
KA-148,RA2_filed_rti/KA/RTI_KA-148.pdf,,,tesseract
KA-153,RA2_filed_rti/KA/RTI_KA-153.pdf,,,tesseract
KA-160,RA2_filed_rti/KA/RTI_KA-160.pdf,,,tesseract
KA-162,RA2_filed_rti/KA/RTI_KA-162.pdf,,,tesseract
KA-172,RA2_filed_rti/KA/RTI_KA-172.pdf,,,tesseract
KA-174,RA2_filed_rti/KA/RTI_KA-174.pdf,,,tesseract
KA-178,RA2_filed_rti/KA/RTI_KA-178.pdf,,,tesseract
KA-179,RA2_filed_rti/KA/RTI_KA-179.pdf,,,tesseract
DL-003,RA2_filed_rti/DL/RTI_DL-003.pdf,,,tesseract
DL-007,RA2_filed_rti/DL/RTI_DL-007.pdf,,,tesseract
DL-008,RA2_filed_rti/DL/RTI_DL-008.pdf,,,tesseract
DL-010,RA2_filed_rti/DL/RTI_DL-010.pdf,,,tesseract
DL-014,RA2_filed_rti/DL/RTI_DL-014.pdf,,,tesseract
