year,page,code,name,opening,received,total,transferred,fa_received,fa_disposed,replied,rejected,disciplinary,fee_rs,charges_rs,penalty_rs,amount_total_rs,capios,cpios,faas,officers_total
2020-21,197,61.1,National Law University Delhi,2,125,127,0,2,1,,0,0,80,0,0,80,0,0,0,0
2020-21,197,61.2,Bhaskaracharaya College of Applied Sciences,0,14,14,0,1,0,,0,0,90,0,0,90,1,1,1,3
2020-21,197,61.3,Delhi State Legal Services Authority,10,199,209,2,37,37,,18,0,420,84,0,504,2,13,0,15
2020-21,197,61.4,Office of the Deputy Commissioner West,684,1003,1687,217,87,58,,0,0,1710,0,0,1710,0,0,0,0
2020-21,197,61.5,Office of the Chief Electoral Officer,22,1637,1659,395,95,35,,143,0,1145,100,0,1245,82,82,11,175
2020-21,197,61.6,Office of the Chief Minister Delhi,0,2021,2021,1835,200,200,,0,0,17835,0,0,17835,1,1,1,3
2020-21,197,61.7,Office of the Chief Secretary Delhi,6,968,974,838,83,72,,0,0,5630,320,0,5950,0,1,1,2
2020-21,197,61.8,Office of the Deputy Chief Minister,6,271,277,211,0,0,,0,0,2060,0,0,2060,1,1,1,3
2020-21,197,61.9,Office of the Deputy Commissioner Central,0,523,523,523,21,0,,0,0,930,0,0,930,0,0,0,0
2020-21,197,61.10,Office of the Deputy Commissioner New Delhi,1107,232,1339,1339,50,28,,0,0,0,0,0,0,0,0,0,0
2020-21,197,61.11,Office of the Deputy Commissioner North,156,4036,4192,323,250,250,,0,0,10585,0,0,10585,0,0,0,0
2020-21,197,61.12,Office of the Deputy Commissioner North East,142,805,947,305,39,38,,0,0,1050,0,0,1050,0,0,0,0
2020-21,197,61.13,Office of the Deputy Commissioner North West,65,282,347,83,94,48,,0,0,1825,2126,0,3951,0,0,0,0
2020-21,198,61.14,Office of the Deputy Commissioner South,94,822,916,314,105,88,,0,0,0,0,0,0,0,0,0,0
2020-21,198,61.15,Office of the Deputy Commissioner South West,488,773,1261,176,60,0,,0,0,1450,0,0,1450,0,0,0,0
2020-21,198,61.16,Office of the Lokayukta Delhi,1,15,16,8,4,4,,0,0,50,0,0,50,0,0,0,0
2020-21,198,61.17,Office of the Minister of Food and Civil Supplies,1,40,41,38,1,1,,0,0,130,0,0,130,0,0,0,0
2020-21,198,61.18,Office of the Minister of Transport Development GAD Employment and Labour,0,100,100,94,3,1,,0,0,290,0,0,290,0,0,0,0
2020-21,198,61.19,Office of the Minister of Transport Law and Election,0,159,159,134,10,10,,0,0,520,0,0,520,0,0,0,0
2020-21,198,61.20,Dr. B.R. Ambedkar University Delhi,4,77,81,0,17,13,,0,0,170,0,0,170,0,1,1,2
2020-21,198,61.21,Delhi Technological University,8,134,142,2,37,36,,0,0,200,222,0,422,0,0,0,0
2020-21,198,61.22,Indira Gandhi Institute of Physical Education and Sports Sciences,0,20,20,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,198,61.23,Food Supply and Consumers Affairs,68,771,839,24,264,179,,270,0,1230,0,0,1230,0,0,0,0
2020-21,198,61.24,Drug Control Department,63,132,195,5,23,3,,0,0,1490,0,0,1490,0,0,0,0
2020-21,198,61.25,Maulana Azad Medical College,97,152,249,17,10,10,,0,0,450,300,0,750,1,1,1,3
2020-21,198,61.26,Urdu Academy Delhi,0,20,20,7,0,0,,0,0,30,0,0,30,0,0,0,0
2020-21,198,61.27,Planning Department,6,84,90,43,13,13,,0,0,480,6,0,486,1,1,1,3
2020-21,199,61.28,Department of Social Welfare GNCT of Delhi,7,547,554,57,62,62,,0,0,1520,474,0,1994,0,52,1,53
2020-21,199,61.29,Registrar Cooperative Society,312,2078,2390,174,759,0,,1,0,13100,17349,0,30449,0,14,1,15
2020-21,199,61.30,Deptt. of Finance,0,296,296,144,5,5,,0,0,1570,0,0,1570,0,0,0,0
2020-21,199,61.31,Delhi Electricity Regulatory Commission (DERC),24,416,440,14,23,22,,0,0,820,0,0,820,1,0,0,1
2020-21,199,61.32,MCD,0,2582,2582,2429,20,6,,153,0,6525,0,0,6525,1,2,0,3
2020-21,199,61.33,NDMC,50,1674,1724,202,117,117,,7,0,13510,0,0,13510,60,40,21,121
2020-21,199,61.34,Delhi Labour Welfare Board,3,56,59,26,4,0,,0,0,480,0,0,480,0,1,1,2
2020-21,199,61.35,Information and Technology Department,4,61,65,0,0,0,,0,0,270,0,0,270,1,1,1,3
2020-21,199,61.36,A and U Tibbia College and Hospital,283,20,303,1,11,4,,0,0,160,74,0,234,0,1,1,2
2020-21,199,61.37,Acharayashree Bhikshu Government Hospital,0,38,38,0,1,1,,0,0,100,0,0,100,0,1,1,2
2020-21,199,61.38,Acharya Narendra Dev College,0,4,4,0,0,0,,4,0,0,0,0,0,0,0,0,0
2020-21,199,61.39,Administrative Reforms Department,0,207,207,16,18,18,,3,0,1610,0,0,1610,1,1,1,3
2020-21,199,61.40,"Art, Culture and Language Department",0,42,42,19,10,3,,0,0,70,0,0,70,0,0,0,0
2020-21,199,61.41,Aruna Asaf Ali Government Hospital,57,46,103,0,4,4,,0,0,470,0,0,470,0,0,0,0
2020-21,200,61.42,Aryabhat Institute of Technology,2,12,14,0,2,2,,0,0,30,0,0,30,1,1,0,2
2020-21,200,61.43,Department of Women and Child Development,9,376,385,179,63,63,,1,0,1060,34,0,1094,0,0,0,0
2020-21,200,61.44,Attar Sain Jain Eye and General Hospital,2,6,8,0,0,0,,0,0,10,0,0,10,0,1,1,2
2020-21,200,61.45,Babu Jagjivan Ram Memorial Hospital,0,86,86,0,7,4,,17,0,455,419,0,874,0,0,0,0
2020-21,200,61.46,Bhagini Nivedita College,179,9,188,0,7,0,,0,0,0,0,0,0,0,0,0,0
2020-21,200,61.47,Bhagwan Mahavir Hospital,0,49,49,1,5,5,,1,0,350,0,0,350,1,1,1,3
2020-21,200,61.48,Bhim Rao Ambedkar College,141,10,151,0,0,0,,0,0,0,0,0,0,0,0,1,1
2020-21,200,61.49,Delhi Jal Board,2629,2667,5296,49,612,312,,5,0,13650,9818,0,23468,0,78,23,101
2020-21,200,61.50,Board of Homoeopathic System of Medicine Delhi,1,13,14,1,0,0,,0,0,10,0,0,10,0,0,0,0
2020-21,200,61.51,Board of Technical Education,41,97,138,21,6,0,,0,0,690,0,0,690,0,0,0,0
2020-21,200,61.52,Central Jail Tihar,0,497,497,93,64,64,,5,0,1410,1260,0,2670,0,0,0,0
2020-21,200,61.53,Ch Brham Prakash Government Engineering College,1,13,14,0,0,0,,0,0,10,0,0,10,0,0,0,0
2020-21,200,61.54,Chacha Nehru Bal Chikitsalaya,0,55,55,0,2,2,,1,0,130,40,0,170,0,0,0,0
2020-21,200,61.55,College of Art,0,39,39,0,3,3,,0,0,220,20,0,240,0,1,1,2
2020-21,200,61.56,Commission for OBC,0,30,30,20,0,0,,0,0,0,0,0,0,0,1,1,2
2020-21,201,61.57,Deen Dayal Upadhyay Hospital,0,248,248,7,15,15,,2,0,1220,1566,0,2786,1,1,1,3
2020-21,201,61.58,Deen Dayal Upadhyaya College,3,20,23,0,4,0,,0,0,30,0,0,30,2,1,1,4
2020-21,201,61.59,Delhi Agricultural Marketing Board,17,440,457,120,28,27,,6,0,1670,2454,0,4124,14,14,2,30
2020-21,201,61.60,Delhi Bharatiya Chikitsa Parishad,0,16,16,0,2,2,,0,0,150,0,0,150,0,1,0,1
2020-21,201,61.61,Delhi Co Operative Housing Finance Corporation Limited,1,26,27,0,4,2,,3,0,150,0,0,150,1,1,1,3
2020-21,201,61.62,Delhi Commission for Safai Karamcharis,0,29,29,15,2,2,,0,0,210,0,0,210,0,0,0,0
2020-21,201,61.63,Delhi Commission for Women,96,391,487,61,61,41,,0,0,3550,2042,0,5592,1,1,1,3
2020-21,201,61.64,Delhi Consumers Cooperative Wholesale Store Limited,0,13,13,0,0,0,,0,0,50,0,0,50,0,1,1,2
2020-21,201,61.65,Delhi Dental Council,0,27,27,0,0,0,,0,0,20,0,0,20,1,1,1,3
2020-21,201,61.66,Delhi Fire Services,0,525,525,16,69,29,,0,0,2580,1008,0,3588,0,8,1,9
2020-21,201,61.67,Delhi Institute of Heritage Research and Management,15,2,17,0,2,2,,0,0,0,0,0,0,0,1,0,1
2020-21,201,61.68,Delhi Institute of Hotel Management and Catering Technology,0,4,4,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,201,61.69,Delhi Khadi and Village Industries Board,1,9,10,0,4,4,,0,0,60,0,0,60,1,1,1,3
2020-21,201,61.70,Delhi Legislative Assembly Secretariat,531,174,705,33,12,10,,0,0,720,393,0,1113,1,1,1,3
2020-21,201,61.71,Delhi Minorities Commission,0,51,51,1,0,0,,0,0,80,0,0,80,0,1,0,1
2020-21,202,61.72,Delhi Nursing Council,89,42,131,0,0,0,,0,0,110,0,0,110,0,1,1,2
2020-21,202,61.73,Delhi Pharmacy Council,0,10,10,4,0,0,,0,0,60,0,0,60,0,1,1,2
2020-21,202,61.74,Delhi Pollution Control Committee,16,346,362,7,81,2,,0,0,2010,4890,0,6900,0,0,0,0
2020-21,202,61.75,Delhi Sanskrit Academy,15,8,23,0,0,0,,0,0,20,0,0,20,0,0,0,0
2020-21,202,61.76,Delhi SC ST OBC Minority Handicapped Finance and Dev Corp,0,18,18,0,3,3,,0,0,145,0,0,145,0,0,0,0
2020-21,202,61.77,Delhi State AIDS Control Society,201,79,280,2,9,5,,0,0,94,0,0,94,1,0,1,2
2020-21,202,61.78,Delhi State Civil Supplies Corporation Limited,0,27,27,0,0,0,,0,0,0,0,0,0,0,1,1,2
2020-21,202,61.79,Delhi State Haj Committee,0,4,4,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,202,61.80,Delhi State Industrial and Infrastructure Development Corporation Limited,16,885,901,57,87,87,,1,0,6810,0,0,6810,0,0,0,0
2020-21,202,61.81,Delhi Subordinate Services Selection Board,46,5365,5411,212,869,814,,89,0,2660,0,0,2660,0,14,2,16
2020-21,202,61.82,Delhi Tourism and Transporation Development Corporation Limited,186,140,326,20,31,15,,1,0,100,630,0,730,0,9,1,10
2020-21,202,61.83,Delhi Transco Limited,0,78,78,0,43,43,,0,0,670,15781,0,16451,1,1,4,6
2020-21,202,61.84,Delhi Transport Corporation,89,866,955,89,465,360,,0,0,7400,716,0,8116,0,0,0,0
2020-21,202,61.85,Delhi Wakf Board,55,211,266,1,18,18,,5,0,1120,0,0,1120,1,1,1,3
2020-21,203,61.86,"Department for the Welfare of SC, ST, OBC and Minorities",33,293,326,53,25,23,,0,0,1245,0,0,1245,5,1,1,7
2020-21,203,61.87,Department of Archaeology,0,42,42,20,0,0,,18,0,0,820,0,820,0,0,0,0
2020-21,203,61.88,Department of Delhi Archives,12,179,191,6,0,0,,0,0,1255,2598,0,3853,0,0,0,0
2020-21,203,61.89,Department of Environment,21,57,78,18,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,203,61.90,Department of Food Safety,17,153,170,58,8,7,,6,0,970,95,0,1065,1,17,1,19
2020-21,203,61.91,Department of Forest and Wild Life,21,391,412,149,35,28,,0,0,1550,0,0,1550,0,4,1,5
2020-21,203,61.92,Department of Industries,0,174,174,132,6,4,,3,0,190,0,0,190,0,0,0,0
2020-21,203,61.93,"Department of Law, Justice and Legislative Affairs",67,260,327,166,36,23,,7,0,840,0,0,840,1,1,1,3
2020-21,203,61.94,Department of Power,0,526,526,169,27,27,,0,0,560,0,0,560,0,3,1,4
2020-21,203,61.95,Department of Trade and Taxes,5,140,145,2,81,81,,0,0,905,0,0,905,154,1,1,156
2020-21,203,61.96,Department of Training and Technical Education,14,442,456,1,123,116,,0,0,860,250,0,1110,0,0,0,0
2020-21,203,61.97,Department of Urban Development,138,1026,1164,1093,23,22,,0,0,1190,0,0,1190,7,7,3,17
2020-21,203,61.98,Development Department,93,420,513,209,39,39,,5,0,1610,540,0,2150,0,0,0,0
2020-21,203,61.99,Directorate General of Home Guards GNCTD,71,85,156,0,8,7,,0,0,405,1536,0,1941,4,1,1,6
2020-21,204,61.100,Directorate of Agricultural Marketing,0,40,40,21,5,5,,0,0,140,0,0,140,0,0,0,0
2020-21,204,61.101,Directorate of Audit,16,30,46,5,2,1,,0,0,60,324,0,384,1,1,1,3
2020-21,204,61.102,Directorate of Education,789,20197,20986,5341,1467,968,,1521,0,28248,5152,0,33400,44,44,8,96
2020-21,204,61.103,Directorate of Employment,0,119,119,32,0,0,,0,0,120,0,0,120,0,1,1,2
2020-21,204,61.104,Directorate of Family Welfare,9,133,142,62,0,0,,0,0,70,0,0,70,1,1,1,3
2020-21,204,61.105,Directorate of Gurudwara Election,0,38,38,1,4,4,,0,0,295,86,0,381,1,1,1,3
2020-21,204,61.106,Directorate of Health Services Head Quarter,7432,4587,12019,1221,163,162,,3,0,2380,552,0,2932,1,22,1,24
2020-21,204,61.107,Directorate of Higher Education,1,129,130,92,5,5,,0,0,150,0,0,150,0,0,0,0
2020-21,204,61.108,Directorate of Ayush,314,72,386,16,0,0,,0,0,10,98,0,108,2,2,1,5
2020-21,204,61.109,Directorate of Information and Publicity,0,186,186,14,15,15,,0,0,190,0,0,190,0,2,2,4
2020-21,204,61.110,Directorate of Prohibition,0,7,7,1,0,0,,0,0,0,40,0,40,0,0,0,0
