2020-21 p197: Delhi code 61, 13 authorities
2020-21 p198: Delhi code 61, 14 authorities
2020-21 p199: Delhi code 61, 14 authorities
2020-21 p200: Delhi code 61, 15 authorities
2020-21 p201: Delhi code 61, 15 authorities
2020-21 p202: Delhi code 61, 14 authorities
2020-21 p203: Delhi code 61, 14 authorities
2020-21 p204: Delhi code 61, 15 authorities
2020-21 p205: Delhi code 61, 15 authorities
2020-21 p206: Delhi code 61, 14 authorities
2020-21 p207: Delhi code 61, 15 authorities
2020-21 p208: Delhi code 61, 14 authorities
2020-21 p209: Delhi code 61, 15 authorities
2020-21 p210: Delhi code 61, 13 authorities
2021-22 p161: Delhi code 59, 3 authorities
2021-22 p162: Delhi code 59, 16 authorities
2021-22 p163: Delhi code 59, 16 authorities
2021-22 p164: Delhi code 59, 16 authorities
2021-22 p165: Delhi code 59, 16 authorities
2021-22 p166: Delhi code 59, 16 authorities
2021-22 p167: Delhi code 59, 16 authorities
2021-22 p168: Delhi code 59, 16 authorities
2021-22 p169: Delhi code 59, 16 authorities
2021-22 p170: Delhi code 59, 16 authorities
2021-22 p171: Delhi code 59, 16 authorities
2021-22 p172: Delhi code 59, 16 authorities
2021-22 p173: Delhi code 59, 16 authorities
2021-22 p174: Delhi code 59, 2 authorities
2022-23 p160: Delhi code 59, 13 authorities
2022-23 p161: Delhi code 59, 17 authorities
2022-23 p162: Delhi code 59, 20 authorities
2022-23 p163: Delhi code 59, 20 authorities
2022-23 p164: Delhi code 59, 19 authorities
2022-23 p165: Delhi code 59, 18 authorities
2022-23 p166: Delhi code 59, 20 authorities
2022-23 p167: Delhi code 59, 18 authorities
2022-23 p168: Delhi code 59, 20 authorities
2022-23 p169: Delhi code 59, 18 authorities
2022-23 p170: Delhi code 59, 7 authorities
2023-24 p162: Delhi code 59, 11 authorities
2023-24 p163: Delhi code 59, 17 authorities
2023-24 p164: Delhi code 59, 16 authorities
2023-24 p165: Delhi code 59, 17 authorities
2023-24 p166: Delhi code 59, 18 authorities
2023-24 p167: Delhi code 59, 15 authorities
2023-24 p168: Delhi code 59, 17 authorities
2023-24 p169: Delhi code 59, 17 authorities
2023-24 p170: Delhi code 59, 16 authorities
2023-24 p171: Delhi code 59, 17 authorities
2023-24 p172: Delhi code 59, 17 authorities
2023-24 p173: Delhi code 59, 14 authorities
