name_norm,years,n_rows,key,canonical,score
sugar,2015|2016|2017|2018|2019|2020|2021,13,sugar,Tamil Nadu Sugar Corporation,1.00
alagappa university,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,alagappa university,Alagappa University,1.00
anna university,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,anna university,Anna University,1.00
annamalai university,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,annamalai university,Annamalai University,1.00
arasu cable tv,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,arasu cable tv,Tamil Nadu Arasu Cable TV Corporation Ltd.,1.00
arasu rubber,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,arasu rubber,Arasu Rubber Corporation Limited,1.00
archaeology,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,archaeology,Commissionerate of Archaeology,1.00
art culture,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,art culture,Commissionerate of Art and Culture,1.00
backward classes economic development,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,backward classes economic development,Tamil Nadu Backward Classes Economic Development Corporation,1.00
backward classes most backward classes minorities welfare secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,backward classes most backward classes minorities welfare secretariat,Directorate of Minorities Welfare,1.00
backward classes welfare,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,backward classes welfare,Directorate of Backward Classes Welfare,1.00
bharathiar university,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,bharathiar university,Bharathiar University,1.00
bharathidasan university,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,bharathiar university,Bharathiar University,0.89
cements,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,cements,Tamil Nadu Cements Corporation,1.00
co operative audit,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,co operative audit,Co-operative Audit Department,1.00
commercial taxes,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,commercial taxes,Commissionerate of Commercial Taxes,1.00
commercial taxes registration secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,commercial taxes,Commissionerate of Commercial Taxes,0.90
commissioner civil supplies consumer protection,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,commissioner civil supplies consumer protection,Commissioner of Civil Supplies and Consumer Protection,1.00
