year,page,layout,dept_hint,name,is_total,pios,opening,received,total,transferred,replied,rej_s8,rej_s9,rej_s11,rej_s24,rej_other,rej_total,pending,charges_rs,fee_rs,penalty_rs,amount_total_rs,faas,fa_opening,fa_received,fa_total,fa_disposed,fa_rejected,fa_pending,disciplinary,chk_total,chk_disposal,key,canonical,tier
2015,52,W,AD&TW,"Adi Dravidar and Tribal Welfare Department, Secretariat.",0,8,,288,288,12,274,2,,,,,,,,,,,3,,6,6,2,4,,,1,1,adi dravidar tribal welfare secretariat,Directorate of Tribal Welfare,Secretariat
2015,52,W,AD&TW,Directorate ofAdi Dravidar Welfare,0,2,,550,550,,533,,,,,,,17,,,,,1,,17,17,,,17,,1,1,adi dravidar welfare,Directorate of Adi Dravidar Welfare,HOD
2015,52,W,AD&TW,Directorate of Tribal Welfare,0,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,adi dravidar tribal welfare secretariat,Directorate of Tribal Welfare,HOD
2015,52,W,AD&TW,Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO),0,43,9,84,93,,89,,,,,,,4,,,,,43,,5,5,5,,,,1,1,adi dravidar housing development tahdco,Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO),Body/Corporation
2015,52,W,AD&TW,AD&TW Total,1,54,9,922,931,12,896,2,,,,,,21,,,,,48,,28,28,7,4,17,,1,1,ad tw total,AD&TW Total,HOD
2015,52,W,Agriculture,"Agriculture Department, Secretariat",0,11,2,199,201,165,36,,,,,,,,282,,,,5,2,,2,2,,,,1,1,agriculture secretariat,"Agriculture Department, Secretariat",Secretariat
2015,52,W,Agriculture,Commissionerate ofAgriculture,0,63,38,853,891,60,735,14,,2,,30,,50,,,,,31,3,42,45,38,2,5,,1,1,ofagriculture,Commissionerate ofAgriculture,HOD
2015,52,W,Agriculture,Horticulture and Plantation Crops,0,34,5,218,223,1,219,,3,,,,,,486,,,,34,,13,13,12,1,,,1,1,horticulture plantation crops,Directorate of Horticulture and Plantation Crops,HOD
2015,52,W,Agriculture,Agricultural Marketing and Agri Business,0,1,,64,64,2,62,,,,,,,,46,,,,2,,5,5,5,,,,1,1,agricultural marketing agri business,Agricultural Marketing and Agri Business,HOD
2015,52,W,Agriculture,Seed Certification and Organic Certification,0,1,1,29,30,1,28,,,,,,,1,,,,,1,,1,1,1,,,,1,1,seed certification organic certification,Directorate of Seed Certification and Organic Certification,HOD
2015,52,W,Agriculture,Agricultural Engineering,0,5,7,86,93,,60,,,,,27,,6,300,,,,1,,11,11,10,1,,,1,1,agricultural engineering,Agricultural Engineering,HOD
2015,52,W,Agriculture,Tamil Nadu Agriculture University,0,2,,229,229,1,207,14,,4,,1,,2,1404,,,,1,,24,24,24,,,,1,1,agricultural university,Tamil Nadu Agricultural University,Body/Corporation
2015,52,W,Agriculture,Tamil Nadu Watershed Development Agency,0,1,,9,9,,9,,,,,,,,,,,,1,,,,,,,,1,1,watershed development agency,Tamil Nadu Watershed Development Agency,Body/Corporation
2015,52,W,Agriculture,Agriculture Total,1,118,53,1687,1740,230,1356,28,3,6,,58,,59,2518,,,,76,5,96,101,92,4,5,,1,1,agriculture total,Agriculture Total,HOD
2015,53,W,Animal Husbandry,"Animal Husbandry Dairying & Fisheries Department,Secretariat.",0,6,49,141,190,120,68,1,,,,1,,,120,,,,4,,1,1,1,,,,1,1,animal husbandry dairying fisheries secretariat,"Animal Husbandry, Dairying & Fisheries Department, Secretariat.",Secretariat
2015,53,W,Animal Husbandry,Animal Husbandry and Veterinary Services,0,2,46,259,305,,256,2,,,,,,47,608,,,,1,2,3,5,5,,,,1,1,director animal husbandry veterinary services,Director of Animal Husbandry and Veterinary Services,HOD
2015,53,W,Animal Husbandry,Fisheries,0,35,69,308,377,3,353,,,,,,,21,,,,,14,47,18,65,55,,10,,1,1,fisheries development,Tamil Nadu Fisheries Development Corporation,HOD
2015,53,W,Animal Husbandry,Milk Production and Dairy Development,0,26,5,382,387,20,365,,,,,2,,,2660,,,,26,1,62,63,58,,5,,1,1,milk production dairy development,Directorate of Milk Production and Dairy Development,HOD
2015,53,W,Animal Husbandry,Tamil Nadu Veterinary and Animal Sciences University,0,1,1,63,64,,56,5,,,,,,3,236,,,,1,,3,3,2,,1,,1,1,veterinary animal sciences university,Tamil Nadu Veterinary and Animal Sciences University,Body/Corporation
2015,53,W,Animal Husbandry,Tamil Nadu Fisheries University,0,1,,19,19,,,2,,3,,12,,2,,,,,1,,,,,,,,1,,dr j jayalalitha fisheries university,Tamil Nadu Dr.J.Jayalalitha Fisheries University,Body/Corporation
2015,53,W,Animal Husbandry,Audit for Milk Co-operatives,0,6,,11,11,,11,,,,,,,,,,,,1,,1,1,1,,,,1,1,audit for milk co operatives,Directorate of Audit for Milk Cooperative,HOD
2015,53,W,Animal Husbandry,Tamil Nadu Livestock Development Agency,0,1,,2,2,,2,,,,,,,,,,,,1,,,,,,,,1,1,livestock development agency,Tamil Nadu Livestock Development Agency,Body/Corporation
2015,53,W,Animal Husbandry,Tamil Nadu Fisheries Development Corporation,0,1,,9,9,,6,,,,,,,3,,,,,1,,,,,,,,1,1,fisheries development,Tamil Nadu Fisheries Development Corporation,Body/Corporation
2015,53,W,Animal Husbandry,Tamil Nadu State Apex Fisheries Co-operative Federation,0,1,,1,1,,1,,,,,,,,,,,,1,,,,,,,,1,1,state apex fisheries co operative federation,Tamil Nadu State Apex Fisheries Co-operative Federation,HOD
2015,53,W,Animal Husbandry,Tamil Nadu Co-operative Milk Producers Federation,0,1,8,130,138,20,111,,,,,,,7,,,,,1,1,20,21,20,,1,,1,1,co operative milk producers federation,Tamil Nadu Co-operative Milk Producers Federation,HOD
2015,53,W,Animal Husbandry,Animal Husbandry Total,1,81,178,1325,1503,163,1229,10,,3,,15,,83,3624,,,,52,51,108,159,142,,17,,1,1,animal husbandry total,Animal Husbandry Total,HOD
2015,54,W,"BC,MBC, Min Welfare","Backward Classes, Most Backward Classes and Minorities Welfare Department, Secretariat.",0,5,,173,173,66,106,,,,,1,,,455,,,,2,,9,9,7,2,,,1,1,backward classes most backward classes minorities welfare secretariat,Directorate of Minorities Welfare,Secretariat
2015,54,W,"BC,MBC, Min Welfare",Backward Classes Welfare,0,35,,504,504,41,446,3,,,,5,,9,,,,,33,,30,30,30,,,,1,1,backward classes welfare,Directorate of Backward Classes Welfare,HOD
2015,54,W,"BC,MBC, Min Welfare",Most Backward Classes & Denotified Communities Welfare,0,4,,129,129,,127,,,,,2,,,,,,,2,,2,2,2,,,,1,1,most backward classes denotified communities welfare,Most Backward Classes & Denotified Communities Welfare,HOD
2015,54,W,"BC,MBC, Min Welfare",Minorities Welfare,0,1,,33,33,,33,,,,,,,,,,,,1,,,,,,,,1,1,backward classes most backward classes minorities welfare secretariat,Directorate of Minorities Welfare,HOD
2015,54,W,"BC,MBC, Min Welfare",Tamil Nadu Backward Classes Commission,0,1,,41,41,16,21,,,,,4,,,474,,,,1,,1,1,,1,,,1,1,backward classes commission,Tamil Nadu Backward Classes Commission,Body/Corporation
2015,54,W,"BC,MBC, Min Welfare",State Minorities Commission,0,1,,13,13,8,5,,,,,,,,,,,,1,,,,,,,,1,1,state minorities commission,State Minorities Commission,Body/Corporation
2015,54,W,"BC,MBC, Min Welfare",Tamil Nadu Backward Classes Economic Development Corporation,0,1,,15,15,,15,,,,,,,,,,,,1,,,,,,,,1,1,backward classes economic development,Tamil Nadu Backward Classes Economic Development Corporation,Body/Corporation
2015,54,W,"BC,MBC, Min Welfare",Tamil Nadu Minorities Economic Development Corporation,0,1,,9,9,,9,,,,,,,,,,,,1,,1,1,1,,,,1,1,minorities economic development,Tamil Nadu Minorities Economic Development Corporation,Body/Corporation
2015,54,W,"BC,MBC, Min Welfare",Tamil Nadu Wakf Board,0,1,,1253,1253,40,944,5,5,,,250,,9,1364,,,,1,,238,238,221,12,5,,1,1,wakf board,Tamil Nadu Wakf Board,Body/Corporation
2015,54,W,"BC,MBC, Min Welfare",Tamil Nadu State Hajj Committee,0,1,,6,6,,6,,,,,,,,,,,,1,,,,,,,,1,1,state hajj committee,Tamil Nadu State Hajj Committee,HOD
2015,54,W,"BC,MBC, Min Welfare","BC,MBC, Min Welfare Total",1,51,,2176,2176,171,1712,8,5,,,262,,18,2293,,,,44,,281,281,261,15,5,,1,1,bc mbc min welfare total,"BC,MBC, Min Welfare Total",HOD
2015,54,W,CT & Regn,"Commercial Taxes and Registration Department, Secretariat.",0,4,,341,341,166,162,,,,,13,,,476,,,,3,,16,16,16,,,,1,1,commercial taxes,Commissionerate of Commercial Taxes,Secretariat
2015,54,W,CT & Regn,Commissionerate of Commercial Taxes,0,504,38,1146,1184,140,834,75,,7,,92,,36,1298,,,,72,6,85,91,71,12,8,,1,1,commercial taxes,Commissionerate of Commercial Taxes,HOD
2015,54,W,CT & Regn,Registration,0,655,,14899,14899,306,14077,19,,,,63,,434,54160,,,,65,,984,984,879,20,85,,1,1,registration,Registration,HOD
2015,54,W,CT & Regn,Tamil Nadu Sales Tax Appellate Tribunal,0,22,,17,17,1,13,,,,,3,,,,,,,1,,,,,,,,1,1,sales tax appellate tribunal,Tamil Nadu Sales Tax Appellate Tribunal,Body/Corporation
2015,54,W,CT & Regn,CT & Regn Total,1,1185,38,16403,16441,613,15086,94,,7,,171,,470,55934,,,,141,6,1085,1091,966,32,93,,1,1,ct regn total,CT & Regn Total,HOD
2015,55,W,Co-op and Food,"Co-operation, Food and Consumer ProtectionDepartment, Secretariat",0,8,,556,556,,556,,,,,,,,,,,,4,,31,31,31,,,,1,1,co operation food consumer protection secretariat,"Co-operation, Food and Consumer Protection Department, Secretariat",Secretariat
2015,55,W,Co-op and Food,Registrar of Co-operative Societies,0,5549,186,5002,5188,1419,3518,47,,4,1,66,,133,2187,,,,128,27,678,705,661,23,21,,1,1,registrar co operative societies,Registrar of Co-operative Societies,HOD
2015,55,W,Co-op and Food,Commissioner of Civil Supplies and Consumer Protection,0,20,5,892,897,402,461,6,3,2,,22,,1,604,,,,37,1,77,78,74,3,1,,1,1,commissioner civil supplies consumer protection,Commissioner of Civil Supplies and Consumer Protection,HOD
2015,55,W,Co-op and Food,Tamil Nadu Civil Supplies Co-operation,0,48,43,800,843,31,779,4,1,,5,4,,19,3593,,,,33,6,69,75,55,12,8,,1,1,civil supplies co operation,Tamil Nadu Civil Supplies Co-operation,HOD
