application_id,tier,office_name,key,canonical,score,received_mean_2021_23,reply_share,transfer_share,fa_rate
TN-026,Department,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,adi dravidar welfare,Directorate of Adi Dravidar Welfare,0.85,407.3,1.0,0.0,0.167
TN-027,Head of Department,DIRECTORATE OF ADIDRAVIDAR WELFARE,adi dravidar welfare,Directorate of Adi Dravidar Welfare,0.97,407.3,1.0,0.0,0.167
TN-028,Head of Department,"DIRECTORATE OF TRIBAL WELFARE, CHENNAI",social welfare,Tamil Nadu Social Welfare Board,0.79,279.4,0.58,0.43,0.061
TN-029,Head of Department,"TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) HEAD OFFICE, CHENNAI",adi dravidar housing development tahdco,Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO),0.94,85.0,0.87,0.09,0.09
TN-052,Department,AGRICULTURE AND FARMERS WELFARE DEPARTMENT,agriculture farmers welfare secretariat,"Agriculture and Farmers Welfare Department, Secretariat",0.82,282.5,0.13,0.86,0.104
TN-053,Head of Department,"AGRICULTURAL ENGINEERING DEPARTMENT, CHENNAI",agricultural engineering,Agricultural Engineering,1.0,381.3,0.89,0.06,0.086
TN-054,Head of Department,DIRECTOR OF SUGAR,,,,,,,
TN-055,Head of Department,DIRECTORATE OF AGRICULTURE,sericulture,Directorate of Sericulture,0.82,76.7,0.9,0.05,0.248
TN-056,Head of Department,"TAMILNADU AGRICULTURAL UNIVERSITY, COIMBATORE",agricultural university,Tamil Nadu Agricultural University,0.81,169.0,0.66,0.03,0.116
TN-083,Department,"ANIMAL HUSBANDRY, DAIRYING, FISHERIES AND FISHERMEN WELFARE DEPARTMENT",animal husbandry dairying fisheries fishermen welfare secretariat,Commissionerate of Fisheries & Fishermen Welfare,0.9,380.0,0.49,0.29,0.076
TN-084,Head of Department,"COMMISSIONERATE OF FISHERIES AND FISHERMEN WELFARE, CHENNAI",,,,,,,
TN-085,Head of Department,"COMMISSIONERATE OF MILK PRODUCTION AND DAIRY DEVELOPMENT, CHENNAI",milk production dairy development,Directorate of Milk Production and Dairy Development,1.0,307.7,0.77,0.14,0.122
